
Nucleus X, Nucleus Y, Nucleus Z, Nucleus R, Time of Deposition, Timestep
[94.56454528 10.94673992  0.         46.37694614], 0, 5000
[82.66619832 20.60323416  0.         45.7845051 ], 10000, 5000
[45.52630665 96.19617561  0.         45.58703205], 15000, 5000
[74.80669284  5.39654213  0.         44.99463523], 30000, 5000
[ 1.80374105 36.32039505  0.         44.79717718], 35000, 5000
[12.09705209  6.23401465  0.         44.59972295], 40000, 5000
[48.49465462 47.05610594  0.         44.0073836 ], 55000, 5000
[80.86192721 14.54686844  0.         43.0202312 ], 80000, 5000
[63.36722379 29.8987306   0.         42.82281302], 85000, 5000
[26.84988281 16.51955945  0.         42.42798928], 95000, 5000
[52.16209447 67.753963    0.         41.83578576], 110000, 5000
[ 7.90370722  6.96641334  0.         41.24362174], 125000, 5000
[22.27971529 26.29166655  0.         40.84886822], 135000, 5000
[87.00023982 36.7712878   0.         40.25677256], 150000, 5000
[73.00707903 81.92306035  0.         40.05941675], 155000, 5000
[93.31645764 92.93753675  0.         39.46737821], 170000, 5000
[37.22498512 13.55634915  0.         38.67806267], 190000, 5000
[81.02119264 86.23030866  0.         37.88882918], 210000, 5000
[11.1527169  46.69895982  0.         37.69153402], 215000, 5000
[83.95800284 17.86608327  6.82835977 37.49424426], 220000, 5000
[46.81071528 95.50604153  7.32538466 37.29695995], 225000, 5000
[18.1116135  99.27509982  0.         36.90240792], 235000, 5000
[ 9.60297618 77.61415579  0.         36.70514032], 240000, 5000
[45.50414903  1.74570087  0.         36.5078784 ], 245000, 5000
[34.69603393 96.23822435  0.         36.31062223], 250000, 5000
[38.71037669 80.30704174  0.         35.71888885], 265000, 5000
[55.47549935  2.74463557  0.         35.52165631], 270000, 5000
[62.31137388 68.02727155  0.         35.1272095 ], 280000, 5000
[39.87564843  4.4425557   0.         34.73278751], 290000, 5000
[30.29802831 45.36105195  0.         34.535586  ], 295000, 5000
[56.82139965 78.58674962  0.         34.3383909 ], 300000, 5000
[94.28985998 15.53163036 10.38231911 34.1412023 ], 305000, 5000
[39.90361851 47.32277581  3.31589621 33.94402026], 310000, 5000
[76.14080034  3.53880993 10.52271243 33.35251429], 325000, 5000
[51.1650095  74.15340798  4.77955791 32.95821123], 335000, 5000
[75.1917718  67.07398527  0.         32.76107022], 340000, 5000
[73.19209447 21.81857768  8.09954126 32.36680966], 350000, 5000
[26.95856748 37.46457569  0.         31.38128752], 375000, 5000
[54.20443914 38.90425821  6.93960968 30.98713231], 385000, 5000
[10.72078874 72.44195486  0.80950509 30.59300891], 395000, 5000
[80.95227248 88.94282414  6.12301485 30.3959594 ], 400000, 5000
[59.02997944 42.69386187  6.85543046 29.80486088], 415000, 5000
