
Nucleus X, Nucleus Y, Nucleus Z, Nucleus R, Time of Deposition, Timestep
[79.4366202  41.69565686  0.         34.95018976], 0, 15
[92.83760411 95.38304524  0.         34.91568341], 15, 15
[21.5164473  77.23516744  0.         34.86392391], 60, 15
[53.2106795  39.7207698   0.         34.84667075], 75, 15
[88.72506369 87.84083954  0.         34.8294176 ], 90, 15
[31.73252986 30.47654181  0.         34.76040502], 150, 15
[90.89947991 18.1336723   0.         34.65688629], 240, 15
[57.04849538 18.2676607   0.         34.60512698], 285, 15
[10.79277324 91.01425964  0.         34.58787389], 300, 15
[10.4702582  56.87671724  0.         34.51886156], 360, 15
[40.31918092 85.1878441   0.         34.44984929], 420, 15
[ 9.70613948 70.24864389  0.         34.43259624], 435, 15
[53.16263694 45.05045407  0.         34.41534318], 450, 15
[31.30237997 36.5432493   0.         34.39809014], 465, 15
[70.06093477 73.70403007  0.         34.34633102], 510, 15
[61.42512163 73.20983601  0.         34.29457195], 555, 15
[32.67669606  4.94392453  0.         34.26006592], 585, 15
[23.46600861 62.60107173  0.         34.20830691], 630, 15
[66.72318896  3.6510854   0.         34.15654794], 675, 15
[ 6.32651986 84.99712915  0.         34.10478901], 720, 15
[ 4.82269978 16.75997875  0.         34.07028308], 750, 15
[46.39752289  3.53371285  0.         34.05303012], 765, 15
[94.68355441 53.83083621  0.         34.01852422], 795, 15
[29.49020592  7.37346004  0.         34.00127127], 810, 15
[63.79843017 71.86386904  0.         33.96676539], 840, 15
[74.27203382  2.17143782  0.         33.93225953], 870, 15
[79.47786962 39.72383519  0.         33.88050077], 915, 15
[99.52503601 79.46420355  0.         33.82874206], 960, 15
[67.95852318  9.26125634  0.         33.79423627], 990, 15
[48.24231822 29.57277915  0.         33.7597305 ], 1020, 15
[ 9.80673251 54.20693919  0.         33.74247762], 1035, 15
[14.44997424 69.5705929   0.         33.69071901], 1080, 15
[23.68944624 45.56021711  0.         33.63896044], 1125, 15
[21.41832393 36.83667475  0.         33.58720191], 1170, 15
[77.38880337 55.963268    0.         33.53544343], 1215, 15
[76.11199113 28.571237    0.         33.51819061], 1230, 15
[ 3.30908409 77.19564153  0.         33.50093779], 1245, 15
[36.63298477 44.99670045  0.         33.43192658], 1305, 15
[51.18892418 67.01512149  0.         33.41467378], 1320, 15
[88.85836228 44.93915493  0.         33.397421  ], 1335, 15
[31.01533258 56.82356999  0.         33.38016821], 1350, 15
[12.05092228 25.59607805  0.         33.36291544], 1365, 15
[35.25569459 51.90264697  0.         33.34566266], 1380, 15
[21.96072728 69.64470653  0.         33.32840989], 1395, 15
